"TOA5","CR5000","CR5000","","2.5","CPU:27Oct2015.cr5","41269","onemin"
"TIMESTAMP","RECORD","Rn_nr01_Avg","albedo_Avg","Rs_downwell_Avg","Rs_upwell_Avg","Rl_downwell_Avg","Rl_upwell_Avg","T_nr01_Avg","Rl_down_meas_Avg","Rl_up_meas_Avg","Rain_1_mm_Tot","Rain_2_mm_Tot"
"TS","RN","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2","W/m^2","mm","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Tot"
"2015-10-27 20:13:00",112,32.15458,0.186429,90.62804,16.89579,341.9418,383.5195,287.3667,-44.71776,-3.140099,0,0
"2015-10-27 20:14:00",113,31.61073,0.1853292,89.35937,16.56105,341.9265,383.114,287.33,-44.53548,-3.347895,0,0
"2015-10-27 20:15:00",114,30.47787,0.1855822,87.86066,16.30528,341.7685,382.846,287.298,-44.52153,-3.444018,0,0
"2015-10-27 20:16:00",115,29.15326,0.1858574,86.43719,16.06497,341.7395,382.9585,287.2755,-44.42961,-3.210649,0,0
"2015-10-27 20:17:00",116,27.72869,0.186374,85.03936,15.84909,341.681,383.1426,287.2517,-44.36003,-2.898452,0,0
"2015-10-27 20:18:00",117,26.54427,0.1873978,83.7718,15.69864,341.6876,383.2165,287.2364,-44.271,-2.742107,0,0
"2015-10-27 20:19:00",118,26.10823,0.1875341,82.63381,15.49662,341.7211,382.7501,287.2103,-44.09733,-3.068373,0,0
"2015-10-27 20:20:00",119,25.44273,0.1873357,81.47118,15.26245,341.6387,382.4047,287.1842,-44.03978,-3.273775,0,0
"2015-10-27 20:21:00",120,24.72628,0.1880326,80.37701,15.11351,341.756,382.2932,287.1589,-43.78671,-3.249498,0,0
"2015-10-27 20:22:00",121,24.09594,0.1877846,79.19147,14.87097,341.6927,381.9173,287.1285,-43.68665,-3.462092,0,0
"2015-10-27 20:23:00",122,22.93023,0.1878491,77.85944,14.62574,341.6567,381.9601,287.1071,-43.60789,-3.304417,0,0
"2015-10-27 20:24:00",123,21.70735,0.1887961,76.45705,14.43484,341.6174,381.9322,287.089,-43.54989,-3.235034,0,0
"2015-10-27 20:25:00",124,20.11331,0.1895048,74.92127,14.19774,341.5985,382.2088,287.0801,-43.52109,-2.910872,0,0
"2015-10-27 20:26:00",125,19.1201,0.1903524,73.63627,14.01682,341.7,382.1993,287.0679,-43.35416,-2.854816,0,0
"2015-10-27 20:27:00",126,18.35017,0.1905018,72.45571,13.80298,341.786,382.0885,287.0507,-43.17567,-2.873105,0,0
"2015-10-27 20:28:00",127,18.02937,0.1902099,71.40179,13.58129,341.8254,381.6165,287.026,-43.00393,-3.212808,0,0
"2015-10-27 20:29:00",128,17.96228,0.18921,70.4827,13.33619,341.8635,381.0478,286.9874,-42.7587,-3.574468,0,0
"2015-10-27 20:30:00",129,17.14825,0.1891417,69.38342,13.12319,341.8519,380.9638,286.9622,-42.63517,-3.52319,0,0
"2015-10-27 20:31:00",130,16.32229,0.1899325,68.35246,12.98225,341.8781,380.9261,286.9425,-42.50332,-3.455399,0,0
"2015-10-27 20:32:00",131,15.27434,0.1911426,67.35442,12.87422,341.9162,381.1221,286.929,-42.39313,-3.18728,0,0
"2015-10-27 20:33:00",132,14.73969,0.1921454,66.64043,12.80463,342.0963,381.1924,286.9146,-42.13571,-3.039604,0,0
"2015-10-27 20:34:00",133,14.90491,0.1912666,66.19106,12.66018,342.0716,380.6975,286.8872,-42.01366,-3.387696,0,0
"2015-10-27 20:35:00",134,14.81767,0.1905897,65.7126,12.52419,342.033,380.4037,286.8583,-41.89765,-3.526908,0,0
"2015-10-27 20:36:00",135,14.63724,0.1907378,65.23321,12.44242,342.0396,380.1931,286.8289,-41.73355,-3.580008,0,0
"2015-10-27 20:37:00",136,14.39336,0.1903057,64.65033,12.30328,341.9474,379.9012,286.7987,-41.66422,-3.710521,0,0
"2015-10-27 20:38:00",137,13.76517,0.1906987,63.90389,12.18638,341.931,379.8833,286.777,-41.5648,-3.612456,0,0
"2015-10-27 20:39:00",138,13.09519,0.1905573,62.95874,11.99725,341.8456,379.7119,286.7505,-41.50806,-3.641759,0,0
"2015-10-27 20:40:00",139,12.11653,0.1913307,61.82546,11.82909,341.7979,379.6778,286.7307,-41.45023,-3.570381,0,0
"2015-10-27 20:41:00",140,10.96594,0.1917116,60.58445,11.61464,341.7112,379.715,286.711,-41.43155,-3.427696,0,0
"2015-10-27 20:42:00",141,9.80792,0.1920065,59.29168,11.3843,341.7103,379.8098,286.6931,-41.33688,-3.237415,0,0
"2015-10-27 20:43:00",142,9.503194,0.1921989,58.36235,11.21724,341.7631,379.405,286.664,-41.12842,-3.4865,0,0
"2015-10-27 20:44:00",143,8.968079,0.1923079,57.42514,11.04332,341.624,379.0377,286.6357,-41.116,-3.702258,0,0
"2015-10-27 20:45:00",144,8.222525,0.1924635,56.34746,10.84486,341.5496,378.8297,286.6086,-41.046,-3.765923,0,0
"2015-10-27 20:46:00",145,7.498248,0.1921889,55.29966,10.628,341.4557,378.6291,286.5812,-40.99392,-3.820497,0,0
"2015-10-27 20:47:00",146,6.657932,0.1928345,54.26294,10.46377,341.3416,378.4829,286.5522,-40.95282,-3.811582,0,0
"2015-10-27 20:48:00",147,5.882529,0.1927319,53.20081,10.25339,341.1975,378.2624,286.5255,-40.95429,-3.88941,0,0
"2015-10-27 20:49:00",148,5.011191,0.194211,52.22065,10.1418,341.1835,378.2512,286.5045,-40.85682,-3.789158,0,0
"2015-10-27 20:50:00",149,4.492548,0.1943511,51.45337,9.999939,341.0653,378.0262,286.4778,-40.83258,-3.871696,0,0
"2015-10-27 20:51:00",150,3.782943,0.1947268,50.55793,9.845035,340.9203,377.8503,286.4558,-40.85987,-3.929925,0,0
"2015-10-27 20:52:00",151,3.139412,0.1948317,49.83731,9.709835,340.8962,377.8843,286.4338,-40.76674,-3.778674,0,0
"2015-10-27 20:53:00",152,2.872704,0.1960082,49.47113,9.696699,340.8443,377.746,286.4111,-40.69762,-3.795896,0,0
"2015-10-27 20:54:00",153,2.70239,0.1968321,49.16244,9.676756,340.7769,377.5602,286.3843,-40.62232,-3.839024,0,0
"2015-10-27 20:55:00",154,2.463572,0.1973163,48.8061,9.630194,340.6438,377.3561,286.3583,-40.61681,-3.904485,0,0
"2015-10-27 20:56:00",155,2.117898,0.1980799,48.33315,9.573835,340.5206,377.162,286.3361,-40.62203,-3.980613,0,0
"2015-10-27 20:57:00",156,1.600558,0.1983352,47.74137,9.468781,340.352,377.024,286.3164,-40.68584,-4.013809,0,0
"2015-10-27 20:58:00",157,1.096148,0.1987538,47.23164,9.3875,340.2497,376.9977,286.2935,-40.66617,-3.918178,0,0
"2015-10-27 20:59:00",158,0.7964363,0.1986212,46.85242,9.305901,340.1367,376.8868,286.2659,-40.63208,-3.882003,0,0
"2015-10-27 21:00:00",159,0.6476974,0.1981783,46.70325,9.255552,339.9865,376.7865,286.2402,-40.64557,-3.84556,0,0
"2015-10-27 21:01:00",160,0.2024312,0.1996439,46.2747,9.23835,339.7517,376.5856,286.2204,-40.77526,-3.941348,0,0
"2015-10-27 21:02:00",161,-0.5091141,0.2004628,45.57293,9.135694,339.5678,376.5142,286.201,-40.85591,-3.909556,0,0
"2015-10-27 21:03:00",162,-1.241813,0.2014961,44.89605,9.046266,339.3698,376.4614,286.1832,-40.95922,-3.867623,0,0
"2015-10-27 21:04:00",163,-1.926007,0.2022968,44.06504,8.914264,339.1432,376.2199,286.1641,-41.08437,-4.007587,0,0
