"","date_time","rain_rate","concentration","mass_mean_diameter","mean_diameter","std_dev"
"55",2015-10-09 22:04:30,58.922,3564.19871107501,2.31595096333988,0.731590856339098,241.281229405114
"56",2015-10-09 22:05:00,58.941,4022.20833441244,2.29001898173448,0.680643840515859,313.012310332499
"57",2015-10-09 22:05:30,36.226,2781.18636954473,2.05690357837266,0.691289356879031,197.726169018796
"58",2015-10-09 22:06:00,26.133,2370.11120799197,1.77857662559342,0.69709069872548,171.658956021686
"59",2015-10-09 22:06:30,25.896,2234.59934198092,1.78311145361393,0.713143207539686,153.796325914111
"60",2015-10-09 22:07:00,18.733,1621.03858310392,1.73144449831475,0.736948697660053,106.490994708182
"61",2015-10-09 22:07:30,27.902,1962.48021142789,2.01055105476616,0.714452250632441,140.925122980891
"62",2015-10-09 22:08:00,25.63,1748.48262191839,2.17232857022977,0.710260372882523,121.797042416076
"63",2015-10-09 22:08:30,27.185,1843.6700113902,2.04672981561831,0.72106514763329,132.713978617119
"64",2015-10-09 22:09:00,21.124,1666.22417909246,1.83442838074541,0.719448597444039,113.339904990298
"65",2015-10-09 22:09:30,21.11,1330.22998586239,1.9665575390001,0.784213188778859,83.9360485920606
"66",2015-10-09 22:10:00,11.303,1368.16041986102,1.45960730448747,0.736566829345171,84.3246945087256
"67",2015-10-09 22:10:30,11.441,1135.429687084,1.75296260401258,0.727402536388366,71.2913790622676
"68",2015-10-09 22:11:00,9.841,1046.24312661377,1.64256022380992,0.720828981201176,65.7458186614393
"69",2015-10-09 22:11:30,7.858,922.658620293555,1.5556197215771,0.711677659293806,58.6919310770513
"70",2015-10-09 22:12:00,6.416,708.427464821227,1.59090164904847,0.731467541819883,43.5092297882112
"71",2015-10-09 22:12:30,5.568,778.013092928739,1.4141728317063,0.728928001003602,48.5429581917981
"72",2015-10-09 22:13:00,5.635,912.805553164022,1.25440372502333,0.742075578534508,56.6874396142072
"73",2015-10-09 22:13:30,6.057,908.917984885035,1.35808268665864,0.750047378814991,55.2819221856357
"74",2015-10-09 22:14:00,6.118,922.96161610154,1.22240634840294,0.768600417229957,55.2259302063586
"75",2015-10-09 22:14:30,6.477,934.32491365684,1.19115145491145,0.796729186666283,54.3555689034561
"76",2015-10-09 22:15:00,6.137,1015.97879004205,1.20963878701266,0.743529496136016,61.534845904887
"77",2015-10-09 22:15:30,7.404,948.109125612843,1.40476834544105,0.751852249144991,59.9334029969832
"78",2015-10-09 22:16:00,5.151,912.360534434475,1.19104119394298,0.733199602954457,55.9451351900222
"79",2015-10-09 22:16:30,4.451,792.713035187893,1.17268928646108,0.746440590890926,50.0366321536052
"80",2015-10-09 22:17:00,2.919,726.412648389659,0.992438792696216,0.738619631843212,49.5313491124246
"81",2015-10-09 22:17:30,4.227,852.602088531671,1.07501091892151,0.757744637503014,55.4077663852689
"82",2015-10-09 22:18:00,5.385,795.724620304032,1.1782254318128,0.814334416352499,48.4430123487657
"83",2015-10-09 22:18:30,6.088,802.168954211608,1.24407289558794,0.824055977069149,47.5574848981581
"84",2015-10-09 22:19:00,4.748,760.939902904942,1.19714879964888,0.774111735362162,46.5342096107496
"85",2015-10-09 22:19:30,4.066,706.515040523827,1.10532455855893,0.784876498005887,42.9689297507008
"86",2015-10-09 22:20:00,4.662,689.996609406146,1.23988520197525,0.77850287685363,41.7222905108865
"87",2015-10-09 22:20:30,4.516,496.517441693334,1.37657943920989,0.825245886896054,28.5268010870657
"88",2015-10-09 22:21:00,3.75,476.166490820383,1.29568105628198,0.794966827299761,27.7866257502728
"89",2015-10-09 22:21:30,3.956,481.237079170196,1.26135550859644,0.820329738635148,27.6039815483705
"90",2015-10-09 22:22:00,3.22,470.72619106669,1.21738046278901,0.77827921189909,27.8257080985051
"91",2015-10-09 22:22:30,3.592,483.925232892447,1.20394652146769,0.830960519121247,29.3704093665349
"92",2015-10-09 22:23:00,2.819,431.665952138854,1.16471886136854,0.813599011762671,28.6567197976972
"93",2015-10-09 22:23:30,2.204,458.464563224681,1.09204002248859,0.738252334997663,29.4671438658842
"94",2015-10-09 22:24:00,2.485,496.634752188524,1.07169528564204,0.758325995878044,31.5510217230137
"95",2015-10-09 22:24:30,2.374,585.277297684268,0.999788935845386,0.728346233937631,38.2107194474499
"96",2015-10-09 22:25:00,2.204,572.593089568801,0.998715532408765,0.718185106175195,38.1531439246191
"97",2015-10-09 22:25:30,2.619,659.393081557726,1.00309057709613,0.721774768877805,43.2460350468042
"98",2015-10-09 22:26:00,2.164,540.923217408113,0.997631966175932,0.731047359863829,35.729344962807
"99",2015-10-09 22:26:30,1.671,495.753167305155,0.926881063745764,0.713263685431303,33.9960686215259
"100",2015-10-09 22:27:00,1.732,461.708786452694,1.00612955973829,0.712017153177462,32.6957074576367
"101",2015-10-09 22:27:30,1.313,384.692714792948,0.959035529874308,0.69313569174316,25.9457924543596
